word,clicks,impressions,cost,convertedClicks
chandlers,1,1,1.11,0,
tver,1,1,1.24,0,
artist,4,6,2.59,0,
chiulli,1,1,0.78,0,
hyannis,1,2,0.91,0,
ilocos,2,2,2.23,0,
thatcher,1,1,0.72,0,
touchet,1,2,0.42,0,
singers,1,3,0.74,0,
bleyer,1,1,1.17,0,
larimer,1,1,1.27,0,
brittani,1,1,0.12,0,
creole,1,1,0.78,0,
cows,3,16,2.16,0,
cityofclevelandbirthrecords,1,3,1.66,0,
39751,1,1,1.66,0,
barey,1,2,0.17,0,
gelsenkirchen,1,1,0.86,0,
suit,1,1,0.75,0,
breighner,1,1,0.38,0,
arabella,3,3,2.11,0,
brittany,12,12,8.68,1,
certifcation,1,2,1.8,0,
audie,3,8,3.3,0,
crivitz,1,1,0.33,0,
calamaio,1,2,1.69,0,
klob,1,1,0.24,0,
raytown,1,1,0.45,0,
zartman,1,1,0.79,0,
noren,1,1,0.77,0,
camacho,2,2,1.6400000000000001,0,
ugorskaya,2,2,0.98,0,
tuscon,1,2,1.52,0,
satalino,1,2,0.36,0,
insley,1,2,1.0,0,
dusharm,1,1,0.61,0,
axton,1,4,0.67,0,
pigeon,1,1,1.43,0,
colvin,1,2,1.79,0,
hunker,1,5,0.04,0,
alwine,1,1,0.55,0,
maccracken,1,2,0.7,0,
stepp,1,2,0.1,0,
barth,1,1,1.57,0,
steps,4,4,4.300000000000001,0,
erin,11,17,7.2,0,
seaverns,1,1,0.96,0,
erik,1,1,1.26,0,
mosley,2,3,2.72,0,
bitrth,1,1,0.86,0,
erie,26,76,29.490000000000002,0,
eric,52,82,39.32999999999999,0,
matson,4,10,2.8600000000000003,0,
sycamore,1,0,0.5,0,
11955,1,3,0.65,0,
chenot,1,1,1.66,0,
sufi,1,5,0.48,0,
pictures,30,169,20.02,0,
sheridan,4,6,4.109999999999999,0,
hawaiian,2,4,3.2199999999999998,0,
koo,1,1,1.21,0,
gillies,1,2,0.32,0,
jockey,1,1,0.74,0,
homesley,1,1,1.39,0,
stern,2,1,2.16,0,
it's,3,5,2.14,0,
barre,12,12,8.92,0,
largey,1,1,0.86,0,
barry,52,523,18.96,0,
ciara's,2,4,1.55,0,
rushville,2,2,1.62,0,
fasing,1,1,1.01,0,
schramke,1,1,0.4,0,
within,1,1,0.43,0,
placona,1,1,0.71,0,
figland,1,1,0.34,0,
huffmaster,2,6,0.78,0,
719187699,1,1,1.37,0,
nikkita,1,2,0.41,0,
rocords,3,4,4.57,0,
yarvin,1,1,0.15,0,
atlanta,44,97,45.300000000000026,0,
gerdahl,1,1,1.95,0,
middle,7,8,5.359999999999999,2,
laurieann,2,1,3.42,0,
colver,1,1,0.99,0,
swafford,1,1,0.35,0,
oberbeck,1,2,0.8,0,
sitepages,1,1,0.85,0,
kmc,1,1,0.96,0,
shaquille,1,1,2.99,0,
results,12,17,13.07,0,
lambo,1,1,1.64,0,
issacs,1,1,0.31,0,
rechttp,1,1,0.86,0,
facebook,26,40,28.650000000000002,0,
teresita,1,1,1.03,0,
taylore,1,1,0.51,0,
shakespeare,1,1,1.19,0,
065322839,1,1,0.83,0,
november,70,80,60.88999999999999,2,
schenectady,3,9,3.1100000000000003,0,
taras's,1,1,0.88,0,
moscaliuc,1,1,0.5,0,
knw,1,2,0.57,0,
hildreth,1,1,0.54,0,
rental,1,1,0.75,0,
wade,14,15,14.28,0,
relative,4,4,4.33,0,
