word,clicks,impressions,cost,convertedClicks,Cost/Converted Click,,word,clicks,impressions,cost,convertedClicks
dale,41,55,29.28,2,$14.64 ,,images,19,57,12.11,0
french,47,148,29.14,2,$14.57 ,,wesley,19,23,12.1,0
website,17,23,14.45,1,$14.45 ,,dies,16,25,12.07,0
father's,40,65,43.34,3,$14.45 ,,russia,19,221,12.03,0
harrison,20,27,14.41,1,$14.41 ,,41st,20,50,12.02,0
personal,40,2831,28.49,2,$14.24 ,,confederacy,29,245,12.01,0
ball,19,87,13.86,1,$13.86 ,,fifth,16,19,11.97,0
roll,27,40,13.75,1,$13.75 ,,burke,17,35,11.96,0
officers,66,145,41.03,3,$13.68 ,,southern,26,38,11.95,0
11th,28,110,13.44,1,$13.44 ,,alton,16,23,11.9,0
26,23,33,13.42,1,$13.42 ,,high,13,19,11.89,0
mi,39,45,26.54,2,$13.27 ,,21,20,32,11.88,0
copy,36,247,26.48,2,$13.24 ,,talkers,18,182,11.88,0
calvary,25,70,13.14,1,$13.14 ,,z,20,502,11.86,0
47th,15,35,13.1,1,$13.10 ,,worldwar2,19,88,11.82,0
staff,39,47,26.17,2,$13.09 ,,boston,17,22,11.82,0
volunteers,30,54,12.97,1,$12.97 ,,shiloh,34,424,11.82,0
1941,25,45,12.97,1,$12.97 ,,hayes,18,24,11.81,0
tag,39,44,25.93,2,$12.97 ,,forgotten,24,2965,11.8,0
francis,97,148,64.7,5,$12.94 ,,clay,20,27,11.79,0
sanders,16,21,12.87,1,$12.87 ,,37th,19,38,11.77,0
statistics,24,96,12.76,1,$12.76 ,,complete,19,208,11.77,0
veterens,15,18,12.72,1,$12.72 ,,lincoln,26,45,11.76,0
fighting,46,196,25.42,2,$12.71 ,,parker,16,24,11.73,0
fold3,49,727,25.38,2,$12.69 ,,little,16,26,11.71,0
wilbur,19,20,12.64,1,$12.64 ,,valley,25,36,11.71,0
newspaper,21,30,12.59,1,$12.59 ,,garcia,15,22,11.71,0
